"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
20162.1,12827,103013,11972,8566,91594.3,10.66,1540.26,3571.15,71462.3,78.02,7080.3,-2.24,0,0.333756
28830.9,18944,99739.3,21328.2,15848,88198.2,13.12,1323.97,2820.8,71348.5,95.88,6532.2,20.16,30027.4,0.333756
21995.4,12827,112379,16775.6,12175,90300.1,38.54,1179.06,2865.09,67420.7,123.14,4331.7,12.88,24826.6,0.334823
20834.1,13078,104403,11262.7,7610,96992.4,27.88,2100.98,5226.22,76898.4,78.96,6117.3,-8.96,0,0.334823
30330.3,19732,100736,17153.6,12736,88267.7,16.4,1566.49,3354.86,64533.1,95.88,6910.2,0,0,0.335889
32407.2,21606,98298.5,14695.2,11118,86622.2,13.12,1919.95,4429.43,64709.6,88.36,3786.3,4.48,5062.09,0.335889
22926.4,15447,97268.4,11074.1,8891,81627.7,18.04,650.59,1300.75,55032.9,68.62,3696.3,-14.56,0,0.335889
16293.9,10523,101476,22090.8,17254,83907.7,-14.76,532.77,1182.93,64016.9,32.9,1962.9,6.72,11589.5,0.335889
15106,9307,106370,24771.4,17334,93655.1,-4.1,6576.85,16574.3,72116.4,114.68,10314,-7.84,0,0.335889
36482.6,22933,104257,20477,14837,90448.4,9.02,1596.59,3972.77,62481.3,107.16,3440.7,6.72,7726.35,0.335889
21028.7,15032,91680.2,8064.7,6321,83614.6,-4.92,669.51,1573.8,78136.8,53.58,6537.6,5.6,6924.56,0.336955
33939.5,20620,107869,13948.2,10625,86033.8,17.22,1687.32,4152.08,60861.3,54.52,4121.1,-16.24,0,0.336955
22554,8943,165280,24308.9,9947,160160,22.14,1455.12,3261.98,90315.6,84.6,11416.5,-16.24,0,0.336955
20547.1,13211,101928,12527.1,9115,90069,-1.64,1248.72,2863.37,66052,54.52,6823.8,-24.08,0,0.336955
21400.4,12397,113132,32074.3,24905,84401.6,-0.82,1465.01,3420.65,70429.1,61.1,5808.6,-10.64,0,0.336955
19542.6,13467,95102.4,11577.6,8923,85032.9,-3.28,973.95,2756.3,70259.4,63.92,9153,-7.84,0,0.336955
28115.5,15328,120210,32852.5,15388,139916,20.5,1915.22,4662.92,93566.8,94,11973.6,-12.32,0,0.338022
42808.5,23971,117037,29729.9,18871,103247,2.46,2422.19,5903.9,86039.1,142.88,10005.3,-14.56,0,0.338022
27524.7,16763,107610,23634,17099,90583.1,9.02,1224.64,2647.08,61062.7,40.42,6579.9,-8.4,0,0.338022
30177,19557,101124,14004,10497,87431,23.78,972.23,2313.83,57635.6,79.9,7659.9,15.12,24168.4,0.338022
33225.5,23115,94201.4,13854.7,10843,83739.1,39.36,1328.27,3360.02,63513.8,76.14,3948.3,10.08,12233.4,0.339088
